,ignore,neuralnetworks.convolutionalneuralnetwork,neuralnetworks.diffusionmodel,neuralnetworks.generativeflownetworks,neuralnetworks.graphneuralnetwork,neuralnetworks.multilayerperceptron,neuralnetworks.recurrentneuralnetwork,neuralnetworks.transformer,No Predicted Label
ignore,39,2,0,0,1,0,3,2,18
neuralnetworks.convolutionalneuralnetwork,1,13,1,0,0,0,0,0,11
neuralnetworks.diffusionmodel,1,0,5,0,0,0,0,1,0
neuralnetworks.generativeflownetworks,0,0,0,5,0,0,0,0,0
neuralnetworks.graphneuralnetwork,0,0,0,0,7,0,0,0,4
neuralnetworks.multilayerperceptron,0,0,0,0,0,1,0,0,1
neuralnetworks.recurrentneuralnetwork,0,1,0,0,0,1,4,0,2
neuralnetworks.transformer,8,1,2,0,0,0,1,32,4
No True Label,2,1,0,0,0,0,0,1,0
