,neural networks.convolutional neural network,neural networks.diffusion model,neural networks.generative flow networks,neural networks.graph neural network,neural networks.multi-layer perceptron,neural networks.recurrent neural network,neural networks.transformer,ignore,No Predicted Label
neural networks.convolutional neural network,14,1,0,0,0,0,0,1,11
neural networks.diffusion model,0,5,0,0,0,0,1,1,0
neural networks.generative flow networks,0,0,5,0,0,0,0,0,0
neural networks.graph neural network,0,0,0,7,0,0,0,0,4
neural networks.multi-layer perceptron,0,0,0,0,1,0,0,0,1
neural networks.recurrent neural network,1,0,0,0,1,4,0,0,2
neural networks.transformer,1,2,0,0,0,1,32,8,4
ignore,2,0,0,1,0,3,2,39,19
No True Label,1,0,0,0,0,0,1,2,0
