,Climate Change Adaptation,Climate Change Mitigation,Climate Science,Natural Systems Protection,Pollution,Support to Global South,Sustainable Finance,N/A,No Predicted Label,TP,TN,FP,FN,Precision,Recall
Climate Change Adaptation,1,0,0,1,0,0,0,0,0,1,155,11,1,0.08333333333333333,0.5
Climate Change Mitigation,3,12,4,1,0,0,0,0,0,12,119,29,8,0.2926829268292683,0.6
Climate Science,1,2,2,0,0,0,0,0,0,2,150,13,3,0.13333333333333333,0.4
Natural Systems Protection,2,0,2,3,0,0,0,0,0,3,154,7,4,0.3,0.42857142857142855
Pollution,0,0,0,0,0,0,0,0,0,0,166,2,0,0.0,
Support to Global South,0,0,0,0,0,0,0,0,0,0,161,7,0,0.0,
Sustainable Finance,0,0,0,0,0,0,0,0,0,0,167,1,0,0.0,
N/A,5,27,7,5,2,7,1,80,0,80,34,0,54,1.0,0.5970149253731343
No True Label,0,0,0,0,0,0,0,0,0,0,168,0,0,,
