0,Climate Change Adaptation,Climate Change Mitigation,Climate Science,Natural Systems Protection,Pollution,Support to Global South,Sustainable Finance,N/A,TP,TN,FP,FN,Precision,Recall
Climate Change Adaptation,1,0,0,0,0,0,0,0,1,116,1,0,0.5,1.0
Climate Change Mitigation,0,12,0,0,0,0,0,0,12,81,25,0,0.32432432432432434,1.0
Climate Science,0,0,2,0,0,0,0,0,2,110,6,0,0.25,1.0
Natural Systems Protection,0,0,0,3,0,0,0,0,3,112,3,0,0.5,1.0
Pollution,0,0,0,0,0,0,0,0,0,115,3,0,0.0,
Support to Global South,0,0,0,0,0,0,0,0,0,114,4,0,0.0,
Sustainable Finance,0,0,0,0,0,0,0,0,0,117,1,0,0.0,
N/A,1,25,6,3,3,4,1,57,57,18,0,43,1.0,0.57
