0,Climate Change Adaptation,Climate Change Mitigation,Climate Science,Natural Systems Protection,Pollution,Support to Global South,Sustainable Finance,N/A,TP,TN,FP,FN,Precision,Recall
Climate Change Adaptation,0,0,0,1,0,0,0,0,0,116,1,1,0.0,0.0
Climate Change Mitigation,0,12,0,0,0,0,0,0,12,91,15,0,0.4444444444444444,1.0
Climate Science,0,1,1,0,0,0,0,0,1,116,0,1,1.0,0.5
Natural Systems Protection,0,0,0,3,0,0,0,0,3,111,4,0,0.42857142857142855,1.0
Pollution,0,0,0,0,0,0,0,0,0,116,2,0,0.0,
Support to Global South,0,0,0,0,0,0,0,0,0,118,0,0,,
Sustainable Finance,0,0,0,0,0,0,0,0,0,118,0,0,,
N/A,1,14,0,3,2,0,0,80,80,18,0,20,1.0,0.8
