,Climate Change Adaptation,Climate Change Mitigation,Climate Science,Natural Systems Protection,Pollution,Support to Global South,Sustainable Finance,N/A,No Predicted Label
Climate Change Adaptation,0,1,0,0,0,0,0,0,0
Climate Change Mitigation,1,12,0,0,0,0,1,0,0
Climate Science,0,1,1,0,0,0,0,0,0
Natural Systems Protection,2,0,1,2,0,0,0,0,0
Pollution,0,0,0,0,0,0,0,0,0
Support to Global South,0,0,0,0,0,0,0,0,0
Sustainable Finance,0,0,0,0,0,0,0,0,0
N/A,0,17,2,2,2,3,2,73,0
No True Label,0,0,0,0,0,0,0,0,0
