0,Climate Change Adaptation,Climate Change Mitigation,Climate Science,Natural Systems Protection,Pollution,Support to Global South,Sustainable Finance,N/A,TP,TN,FP,FN,Precision,Recall
Climate Change Adaptation,0,1,0,0,0,0,0,0,0,116,1,1,0.0,0.0
Climate Change Mitigation,0,12,0,0,0,0,0,0,12,96,10,0,0.5454545454545454,1.0
Climate Science,0,1,1,0,0,0,0,0,1,116,0,1,1.0,0.5
Natural Systems Protection,1,0,0,2,0,0,0,0,2,113,2,1,0.5,0.6666666666666666
Pollution,0,0,0,0,0,0,0,0,0,117,1,0,0.0,
Support to Global South,0,0,0,0,0,0,0,0,0,116,2,0,0.0,
Sustainable Finance,0,0,0,0,0,0,0,0,0,118,0,0,,
N/A,0,8,0,2,1,2,0,87,87,18,0,13,1.0,0.87
